City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,82.45,83,100,5.75,CK,1670202425
1,gaya,24.7833,85.0,53.64,54,7,4.27,IN,1670202425
2,arraial do cabo,-22.9661,-42.0278,73.02,89,100,28.74,BR,1670202426
3,rikitea,-23.1203,-134.9692,75.52,81,78,12.12,PF,1670202426
4,sao joao da barra,-21.6403,-41.0511,73.54,86,100,18.14,BR,1670202154
5,ixtapa,20.7,-105.2,78.22,83,40,1.01,MX,1670202427
6,grand gaube,-20.0064,57.6608,76.37,70,57,5.01,MU,1670202428
7,ushuaia,-54.8,-68.3,44.26,65,40,13.8,AR,1670202428
8,cap malheureux,-19.9842,57.6142,76.46,70,69,5.01,MU,1670202429
9,carnarvon,-24.8667,113.6333,73.63,66,8,14.34,AU,1670202429
10,puerto ayora,-0.7393,-90.3518,70.56,88,60,3.0,EC,1670202430
11,saskylakh,71.9167,114.0833,-9.92,96,100,15.41,RU,1670202431
12,saint-philippe,-21.3585,55.7679,72.99,83,25,7.27,RE,1670202431
13,bambous virieux,-20.3428,57.7575,76.21,78,97,11.32,MU,1670202432
14,grindavik,63.8424,-22.4338,39.67,93,100,8.05,IS,1670202432
15,cape town,-33.9258,18.4232,62.28,63,1,8.01,ZA,1670202404
16,punta arenas,-53.15,-70.9167,42.91,75,20,19.57,CL,1670202433
17,karratha,-20.7377,116.8463,94.55,27,6,10.36,AU,1670202434
18,busselton,-33.65,115.3333,65.05,62,100,10.49,AU,1670202434
19,sept-iles,50.2001,-66.3821,10.62,81,45,11.14,CA,1670202243
20,tongliao,43.6125,122.2653,11.68,46,0,10.27,CN,1670202435
21,bethel,41.3712,-73.414,34.65,72,0,0.0,US,1670202436
22,kristiansund,63.1115,7.732,32.65,74,100,4.61,NO,1670202437
23,nantucket,41.2835,-70.0995,39.15,67,0,0.0,US,1670202437
24,lagoa,39.05,-27.9833,59.65,69,100,10.78,PT,1670202438
25,caravelas,-17.7125,-39.2481,73.81,75,100,6.73,BR,1670202228
26,svetlogorsk,52.6333,29.7333,17.46,80,100,9.35,BY,1670202439
27,bredasdorp,-34.5322,20.0403,55.74,75,11,3.87,ZA,1670202334
28,barrow,71.2906,-156.7887,21.22,86,100,25.32,US,1670202440
29,buraydah,26.326,43.975,60.44,62,83,9.44,SA,1670202440
30,kapaa,22.0752,-159.319,82.72,73,40,11.5,US,1670202441
31,yellowknife,62.456,-114.3525,-17.73,93,12,11.48,CA,1670202441
32,bengkulu,-3.8004,102.2655,75.99,85,100,2.01,ID,1670202442
33,ahipara,-35.1667,173.1667,67.66,58,0,5.17,NZ,1670202443
34,jamestown,42.097,-79.2353,32.02,51,0,11.5,US,1670202407
35,cairns,-16.9167,145.7667,89.06,57,0,6.91,AU,1670202154
36,soverato,38.685,16.5499,55.35,63,0,3.44,IT,1670202445
37,chuy,-33.6971,-53.4616,64.49,94,0,6.08,UY,1670202445
38,derzhavinsk,51.1,66.3167,3.27,96,100,6.89,KZ,1670202446
39,albany,42.6001,-73.9662,31.23,79,0,3.85,US,1670202424
40,mataura,-46.1927,168.8643,50.49,60,100,3.67,NZ,1670202447
41,diapaga,12.0708,1.7889,78.12,25,88,6.6,BF,1670202447
42,beringovskiy,63.05,179.3167,9.18,80,76,10.07,RU,1670202374
43,port elizabeth,-33.918,25.5701,60.31,99,100,5.01,ZA,1670202384
44,remontnoye,46.5614,43.6501,16.43,61,7,15.95,RU,1670202448
